#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG     PAG 
L1_ETMHF70_HTT180er                                          410         1
L1_ETMHF70_SingleJet90                                       407         1
L1_SingleMu0                                                  46         1
L1_SingleMu3                                                   8         1
L1_SingleMu3Neg                                              502         1
L1_SingleMu3Neg_ETMHF50_SingleJet70                          114         1
L1_SingleMu3Neg_ETMHF50_SingleJet90                          160         1
L1_SingleMu3Neg_ETMHF70_SingleJet70                          159         1
L1_SingleMu3Neg_ETMHF70_SingleJet90                          161         1
L1_SingleMu3Pos                                              503         1
L1_SingleMu3_BMTF                                             64         1
L1_SingleMu3_BMTF_ETMHF20                                     65         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet100                        67         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet100er2p4                   71         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet110                        68         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet110er2p4                   72         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet120                        69         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet120er2p4                   73         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet90                         66         1
L1_SingleMu3_BMTF_ETMHF20_SingleJet90er2p4                    70         1
L1_SingleMu3_ETM50                                           208         1
L1_SingleMu3_ETM50_HTT160er                                  350         1
L1_SingleMu3_ETM50_SingleJet70                               348         1
L1_SingleMu3_ETMHF20_SingleJet100                            490         1
L1_SingleMu3_ETMHF20_SingleJet100er2p4                       112         1
L1_SingleMu3_ETMHF20_SingleJet110                             13         1
L1_SingleMu3_ETMHF20_SingleJet110er2p4                        14         1
L1_SingleMu3_ETMHF20_SingleJet120                            491         1
L1_SingleMu3_ETMHF20_SingleJet120er2p4                       113         1
L1_SingleMu3_ETMHF20_SingleJet50                             463         1
L1_SingleMu3_ETMHF20_SingleJet70                             464         1
L1_SingleMu3_ETMHF20_SingleJet90                             489         1
L1_SingleMu3_ETMHF20_SingleJet90er2p4                        111         1
L1_SingleMu3_ETMHF30                                          47         1
L1_SingleMu3_ETMHF30_HTT140er                                319         1
L1_SingleMu3_ETMHF30_HTT160er                                320         1
L1_SingleMu3_ETMHF30_HTT180er                                321         1
L1_SingleMu3_ETMHF30_SingleJet100                             15         1
L1_SingleMu3_ETMHF30_SingleJet100er2p4                        25         1
L1_SingleMu3_ETMHF30_SingleJet110                             20         1
